iter	Passed	Remaining
0	332	331958
1	432	215775
2	518	172310
3	609	151868
4	703	139927
5	793	131532
6	884	125529
7	976	121078
8	1070	117898
9	1161	114970
10	1257	113053
11	1353	111457
12	1451	110204
13	1541	108582
14	1635	107366
15	1728	106281
16	1820	105239
17	1914	104453
18	2009	103739
19	2098	102823
20	2194	102315
21	2284	101543
22	2377	100994
23	2466	100317
24	2561	99898
25	2655	99489
26	2745	98955
27	2842	98667
28	2932	98192
29	3024	97777
30	3113	97331
31	3199	96788
32	3282	96175
33	3366	95642
34	3450	95134
35	3536	94695
36	3624	94334
37	3714	94040
38	3803	93727
39	3893	93441
40	3986	93243
41	4081	93108
42	4174	92901
43	4270	92785
44	4363	92603
45	4460	92502
46	4549	92249
47	4641	92059
48	4732	91848
49	4823	91643
50	4918	91519
51	5008	91304
52	5100	91128
53	5188	90886
54	5273	90613
55	5364	90429
56	5452	90209
57	5538	89947
58	5631	89811
59	5722	89654
60	5817	89555
61	5907	89375
62	5999	89234
63	6089	89062
64	6184	88958
65	6271	88754
66	6372	88737
67	6469	88672
68	6561	88534
69	6654	88405
70	6747	88293
71	6844	88224
72	6941	88142
73	7033	88014
74	7127	87905
75	7220	87786
76	7316	87708
77	7409	87585
78	7506	87514
79	7599	87388
80	7691	87263
81	7785	87157
82	7875	87007
83	7965	86861
84	8046	86616
85	8133	86442
86	8216	86227
87	8308	86104
88	8398	85967
89	8486	85806
90	8574	85653
91	8667	85546
92	8757	85407
93	8847	85274
94	8936	85134
95	9022	84962
96	9104	84755
97	9187	84562
98	9272	84389
99	9357	84218
100	9442	84044
101	9528	83888
102	9614	83732
103	9701	83578
104	9791	83460
105	9883	83353
106	9972	83226
107	10053	83036
108	10136	82855
109	10224	82728
110	10311	82583
111	10400	82464
112	10489	82341
113	10577	82203
114	10667	82091
115	10757	81979
116	10846	81856
117	10934	81732
118	11018	81572
119	11096	81375
120	11180	81220
121	11262	81055
122	11350	80932
123	11436	80793
124	11522	80654
125	11612	80550
126	11700	80429
127	11787	80305
128	11877	80193
129	11964	80070
130	12044	79900
131	12127	79746
132	12211	79604
133	12298	79479
134	12387	79373
135	12478	79273
136	12565	79152
137	12648	79006
138	12735	78885
139	12828	78803
140	12918	78701
141	13009	78608
142	13099	78505
143	13193	78426
144	13286	78347
145	13377	78249
146	13469	78160
147	13561	78072
148	13657	78004
149	13753	77936
150	13846	77854
151	13938	77760
152	14025	77641
153	14120	77569
154	14212	77479
155	14305	77396
156	14398	77311
157	14490	77222
158	14578	77111
159	14669	77012
160	14757	76902
161	14851	76824
162	14946	76750
163	15036	76651
164	15127	76553
165	15216	76449
166	15306	76350
167	15399	76265
168	15492	76181
169	15584	76091
170	15674	75990
171	15766	75897
172	15856	75797
173	15942	75683
174	16034	75589
175	16124	75493
176	16216	75401
177	16304	75294
178	16394	75192
179	16483	75089
180	16573	74990
181	16663	74892
182	16753	74796
183	16845	74705
184	16937	74615
185	17018	74478
186	17097	74332
187	17180	74203
188	17270	74109
189	17356	73992
190	17446	73897
191	17536	73797
192	17623	73691
193	17711	73585
194	17803	73495
195	17898	73420
196	17980	73292
197	18067	73180
198	18153	73071
199	18242	72970
200	18334	72883
201	18423	72780
202	18510	72674
203	18598	72571
204	18686	72465
205	18783	72397
206	18872	72300
207	18961	72200
208	19051	72103
209	19142	72012
210	19234	71925
211	19325	71833
212	19418	71748
213	19506	71645
214	19593	71540
215	19683	71443
