iter	Passed	Remaining
0	1204	1203282
1	2142	1069134
2	3037	1009382
3	3955	984917
4	4850	965306
5	5761	954539
6	6675	947034
7	7605	943076
8	8493	935244
9	9377	928348
10	10231	919918
11	11136	916878
12	12043	914362
13	12945	911736
14	13826	907915
15	14643	900578
16	15520	897432
17	16453	897642
18	17444	900682
19	18271	895324
20	19229	896454
21	20109	893955
22	20944	889697
23	21846	888418
24	22730	886484
25	23604	884259
26	24456	881327
27	25297	878179
28	26153	875686
29	27050	874642
30	27889	871769
31	28787	870820
32	29658	869089
33	30512	866923
34	31370	864920
35	32255	863722
36	33150	862799
37	34026	861396
38	34934	860818
39	35844	860271
40	36723	858979
41	37659	858994
42	38531	857543
43	39392	855890
44	40297	855199
45	41206	854593
46	42069	853034
47	42889	850637
48	43773	849569
49	44617	847726
50	45465	846013
51	46319	844438
52	47186	843118
53	48109	842805
54	48983	841626
55	49861	840517
56	50732	839315
57	51613	838274
58	52492	837210
59	53368	836101
60	54241	834957
61	55089	833455
62	55970	832446
63	56863	831622
64	57766	830953
65	58644	829908
66	59547	829217
67	60445	828456
68	61295	827041
69	62144	825640
70	63031	824740
71	63886	823431
72	64710	821736
73	65620	821143
74	66504	820220
75	67400	819448
76	68278	818457
77	69181	817760
78	70134	817643
79	71052	817107
80	71942	816240
81	72785	814843
82	73682	814062
83	74599	813491
84	75476	812481
85	76376	811722
86	77280	811004
87	78162	810052
88	79030	808948
89	79939	808277
90	80797	807089
91	81692	806265
92	82582	805405
93	83475	804563
94	84393	803963
95	85279	803046
96	86185	802327
97	87069	801390
